step,state,tape,head
000,q0,"0 0 0 1 1 1",0
001,q1,"X 0 0 1 1 1",1
002,q1,"X 0 0 1 1 1",2
003,q1,"X 0 0 1 1 1",3
004,q2,"X 0 0 Y 1 1",2
005,q2,"X 0 0 Y 1 1",1
006,q2,"X 0 0 Y 1 1",0
007,q2,"_ X 0 0 Y 1 1",0
008,q0,"_ X 0 0 Y 1 1",1
009,q0,"_ X 0 0 Y 1 1",2
010,q1,"_ X X 0 Y 1 1",3
011,q1,"_ X X 0 Y 1 1",4
012,q1,"_ X X 0 Y 1 1",5
013,q2,"_ X X 0 Y Y 1",4
014,q2,"_ X X 0 Y Y 1",3
015,q2,"_ X X 0 Y Y 1",2
016,q2,"_ X X 0 Y Y 1",1
017,q2,"_ X X 0 Y Y 1",0
018,q0,"_ X X 0 Y Y 1",1
019,q0,"_ X X 0 Y Y 1",2
020,q0,"_ X X 0 Y Y 1",3
021,q1,"_ X X X Y Y 1",4
022,q1,"_ X X X Y Y 1",5
023,q1,"_ X X X Y Y 1",6
024,q2,"_ X X X Y Y Y",5
025,q2,"_ X X X Y Y Y",4
026,q2,"_ X X X Y Y Y",3
027,q2,"_ X X X Y Y Y",2
028,q2,"_ X X X Y Y Y",1
029,q2,"_ X X X Y Y Y",0
030,q0,"_ X X X Y Y Y",1
031,q0,"_ X X X Y Y Y",2
032,q0,"_ X X X Y Y Y",3
033,q0,"_ X X X Y Y Y",4
034,q3,"_ X X X Y Y Y",5
035,q3,"_ X X X Y Y Y",6
036,q3,"_ X X X Y Y Y _",7
037,q_accept,"_ X X X Y Y Y _",7
